hatespeech,class
"@ongis9 That's true, here we never provide HOAX news like the camel people who are experts at jerking off the congregation, is there anyone demonstrating against religious blasphemy??? Try if someone else likes that, especially Mr. Ahok or Mr. Jokowi, the",1
"@703_jp.t. Not everyone who shouts Allah is a STUPID Islam! isis is different from Islam, STUPID! ISIS is not Islam STUPID!",1
Your smile brightens days,0
It's really hard to ahoker dick jokower dick,1
It's really hard for tablecloths. have no sense of logic. it really sucks,1
"It's really hard if you have a beggar mentality... If your brain and butt aren't symmetrical, that's how you act...",1
Your optimism is a guiding light,0
"It's really hard to get rid of habit... �¤.. There are a lot of ustadz who are berez.. But usually they don't enter the tipi.. Don't be an example, bro �ð���",1
"It's really hard to explain to a tadpole. If we use arguments, they won't understand. The person's IQ is not up to par. It's not enough to talk about the world, let alone the afterlife. the height bro.",1
Just catch this shit,1
rishi sunak is making india proud!,0
catch the dog who posted this...lock him up,1
catch a bastard like this who doesn't dare show his ugly face..,1
Catch and burn alive,1
"Arrest the people who destroy generations, you stupid admin",1
"Catch it and bring it home, I feed Asu Kirik the crocodile! �ð����ð����ð���¹�ð���¹",1
Arrest that cursed fugitive!!!,1
joe gave nice speech very inspiring,0
Just arrest and put this guy in jail @fadlizon,1
"Arrest, burn, hang the barbaric human beings who have insulted my first lady.",1
"Catch him, strip him naked and parade him, and his face and hands are all bruised, how are you so impudent? Surely this person is ugly and doesn't have a job, you really have the heart to insult the head of state,",1
But Bibib teaches disobedience (?),1
"But defended by the perverts al togelu wal dajjalu,, hahaha!!",1
"@agytha.yora24 have you never been to school? Your mouth is so uneducated it's like you didn't go to school..wasting your time serving people who don't understand what they say, you're not like an educated person.. Thinking about your face is embarrassing",1
"@ahmad_napitupulu this is how cebonger behaves, ahoker projo hahahaa his brain is put in the ball",1
"@ahmad_napitupulu Hey, you're more barbaric, you napkin bastard... You want to be famous, okay? I'll make you famous...",1
"@albudiono979 There are those who don't understand! The clerics are not looked after, who else will become imams? It's stupid to look after it! That's what it means bro",1
"@angga_widi87 your account is even more slender, how can your words be more believable",1
"@angga_widi87 people are getting more and more stupid lol, how would I know because I'm not a member, stupid",1
"@angga_widi87 I asked people who are not educated, but instead asked back. Embarrassed about your child hahaha",1
"@angga_widi87 mblo? You're a widower who's been asked to take care of your ex-wife's children, wow, you don't have any education, but your face looks difficult, wow.",1
@angga_widi87 your face looks like a fagot hahaha,1
@angga_widi87 talks a lot but isn't far from an empty barrel,1
"@angga_widi87 yes, your face really looks like an orangutan's face hahaha",1
@gung.a.gung hahaha rotten account.. You died first..,1
@kebangkitan_212 .. The only way should be the death penalty for infidels like this .. because the ending will definitely be apologies .. honestly I see people like this .. my heart is hot .. I hope this person dies .. tragically .. amen,1
@rafimuhammadi I just saw it and realized.... your face looks like someone who gave a yellow card to.... the mother's son is fat and looks like he's gay...,1
"@rafimuhammadi proves that there are lots of people catching massacres if you know about the existence of the PKI... don't just shout and brag, it's not clear that it will make people anxious",1
@rafimuhammadi be patient sis... why do you have to be emotional... after all the fact is that your face is similar to the brain of that gay dongo... sorry sis if I'm wrong,1
@suriyati_d here... tell your brother who is pretending to be crazy.... hahaha..,1
"Which child is this dog, min",1
Dogs...I'll kill you...kmpret,1
Anjinx,1
Really neat kyie lecture... really suitable for cebongers who like shitholes...,1
"Oh my god, since there's been a nganu there have been a lot of people who dare to say rude things to other religions, right? Even though Islam has never been like that, if you can, look for women who are cursed with toilets or latrines, give them a little deterrent effect, so you know. Be polite so you know you're in Indonesia",1
"Come on, support it bro.. just kick your legs and poke your neck, it'll make people crazy so... unite the Betawi champions...",1
It's great to meet the person,0
"Don't forgive this bastard, if he's found alive, kill him straight away...if he's dead, burn him straight away...",1
Slaughter the face like this KAFIR pig. The blood is halal.,1
This beloved country could be destroyed if there are lots of barons and foreigners,1
Just kill those who bother our clerics. I am ready to fight for my religion. Allah is the Greatest,1
You bastard,1
Just hack this kid...a dog,1
"Isn't it crazy that PKI directors are shy about being open about it, aka effeminate????",1
the dance was amazing,0
"Go ahead and slash the culprit, bro.",1
Beat it... bro,1
"The person who attacks you is also your own person. Pretend to be a victim, it's sad. Dead ae sono",1
Halal blood �,1
Halal to kill,1
People should be killed,1
"People who take religion for granted should be destroyed, if they insult them lightly and they have no fear of apologizing.",1
"The parent is liberal, of course the offspring will also be liberal. The fruit doesn't fall far from the tree. That's the person who is hypocritical"" Poor Gusdur was beaten again by an angel because of his son's behavior.""",1
Unbelievers are cursed....,1
Kafir laknut,1
"Strengthen your ranks, it looks like THIS regime is starting to go crazy...",1
Rotten bitch,1
All kinds of gibeng are ready,1
Killed the Konde Kampret children,1
"That's great bro, slash the neck of the one who tried to kill the cleric,",1
That's great.. so that you can get over it.. just stump your hand first bro... whether it's a crazy problem or not crazy lately..,1
Great bro. Beat up those crazy thugs,1
"MashaAllah......I'm getting braver... when I met this guy, he immediately gave me injections... the photo I just uploaded was broken... then threw it into the crocodile cage...",1
"It's indeed the pig's brain that does the survey... Stupid, fake survey alisa trash survey......",1
Goosebumps... Just get ready to crush it,1
india played wonderful in world cup!!!!,0
crazy people 2018 �ð����ð���¡�ð���,1
Step on the neck,1
Pura pura Gillaaa... Just beat me so you all get tired!! Life pays for life!!,1
The frog king and his followers are panicking about the hashtag 2019 changing president... �ð���,1
ENGINEERING A BABARU REGIME,1
"If we meet I will definitely die, sis... don't insult Muhammad Rasullah and our religion�ð���¡�ð���¡",1
I hope a crazy person kills the National Police Chief....,1
The kamvret must be jotoooossss�ð����ð����ð����ð���,1
how sweet,0
"Attach the IB HRS truss, don't let it get touched or hurt by the bastard PKI",1
"O my brother, defend our ulama. If there is a jihad fatwa from 212 alumni clerics, we will finish them off",1
"Yes, I'm happy. If you laugh once, it's already kafirrrrrrrrrrr. There's no need to apologize.",1
"@mariofermi94 it's true, bro, I'm surprised that his supporters smell bad, hahaha..",1
"@theosenpaiii are you majoring in science? How come you're so embarrassed.�ð��� The teacher never taught me, don't do it half-heartedly about reading. How do you interpret a sentence if you only study half of it? The micin generation, bro. �ð�",1
The admin is like Tai �ð����ð����ð����ð����ð����ð�� � I'm not laughing anymore min hahaha,1
Ahok is Corrupt.... Death penalty... Kwkwkwkw,1
"Watch out, uncle, some of the short fuses will trigger",1
You should be proud... These sarongs are clearly typical of what Indonesians like to wear when they go to the mosque. On oon I'm not proud of Indonesian culture,1
This stupidity has gone too far hahaha,1
The people are really depraved too hahaha,1
"you're an asshole, min",1
"try to look at his title, admin.. Psychologist.. but he's the one with mental disorders himself.. �ð����ð��� #cumasekedargelar",1
You idiot...do you understand the meaning of the word ambassador (former) ob pea?,1
Dhani is cool now...many of his possessions have been sold and the ones that haven't been sold yet...who wants...?...on sale...the goods are still in good condition...guaranteed to still work...only a little petrol borozzz..z�ð����ð����ð���,1
"Just check, what can be hidden, prove that those who ""say"" return the capital, what's troublesome is campaign funds from c*kongs, in return they ask for a lot of misery for the rich people... #rekl*masi �ð��� �ð����ð����ð���",1
"You're the only one who's stupid... Bandung first asks if the mayor is stupid, then finally the walkot can't be clarified... the only people who get this are stupid and stupid.",1
"Fahri, your mouth smells taeeeekkkkk ONTA BAHLUL",1
"fangsat,lucknut,auto kafir �ð����ð����ð���",1
Fuck for the corrupt... ��¡,1
"habib satan... you're already stupid, pretending to be you @rah.dharma @lisa_oktapiani",1
"Hahahahahahahahha I'm sorry, Bibib, he really lectures when using an air conditioner, Sapa's products, how do you go by car, Sapa's products, fans, Sapa's products, don't read.... I'm Muslim, but I 1 Habib because all his lectures contain SA.",1
"Hehe, that's really stupid... from the date it's gone, it's no longer in circulation..",1
Kampung Arabic Islam,1
ISLAM IS THAT FUCKING FUCK,1
That's a very ancient face,1
Prosecutor kentir yo koyo ngene :v,1
"If you want to know what it is, Mulan is an extraterrestrial creature who got lost on earth. ...looking at Dhani's house...but the creature is beautiful, and makes anyone look at it...please just offer it via fax to Mr. Dhani with number..212414509",1
"If so. You're just lecturing naked, bib. You're going to sew it using a sewing machine made by infidels. Hiii....",1
"Because when they were divided their brains weren't present... so now their heads don't have brains, they're all dirt. So there are a few dirty and dirty thoughts. ¥",1
"Cunning, petty, I don't know if I'm confused about what to say to this species, it's really hypocritical about that �ð���§",1
FUCK YOUR DOG ISLAM,1
"It's great, simple to wear, Ahok... it doesn't look like most of them fit",1
"It's better if you just write in your diary, dog, there's no use for a fool like you on FB :v",1
Those who disturb the government are the maggots... must be immediately destroyed... otherwise they will spread disease to others,1
Sewer mouth,1
The prime minister is doing best for the country,0
"Demonstrates unwavering dedication, setting a benchmark for excellence!",0
Exemplifies leadership through empathy and understanding!,0
Shows profound commitment to making a lasting impact!,0
Handles challenges with remarkable focus and determination!,0
"Embodies resilience in the face of adversity, inspiring many!",0
"Exhibits kindness that resonates, leaving a positive influence!",0
Radiates optimism in even the most trying circumstances!,0
Manages difficulties with grace and admirable composure!,0
"Serves as an inspiration, igniting motivation in others!",0
Fosters passion that's contagious and inspiring!,0
Pursues continuous improvement with unwavering dedication!,0
"Embodies determination, a true source of motivation!",0
Extends support that's both heartening and impactful!,0
"Infuses positivity into every endeavor, uplifting spirits!",0
"Leads with conviction, making a meaningful difference!",0
"Radiates enthusiasm, creating a vibrant atmosphere!",0
"Navigates challenges adeptly, offering viable solutions!",0
Displays thoughtfulness that's truly commendable!,0
"Maintains composure under pressure, earning admiration!",0
"Empathizes genuinely, fostering connections and understanding!",0
"Embodies perseverance, a source of inspiration for many!",0
Exudes generosity that's both heartwarming and impactful!,0
Inspires with an unwavering spirit and positive outlook!,0
Shows leadership qualities that inspire and empower!,0
"Channels positivity, lighting up every environment!",0
Demonstrates problem-solving skills that inspire confidence!,0
"Acts with thoughtfulness and grace, earning respect!",0
"Exemplifies resilience, paving the way for others!",0
"Radiates warmth and kindness, leaving lasting impressions!",0
Leads with dedication and inspires continual growth!,0
Uplifts spirits with enthusiasm and genuine care!,0
Navigates challenges with poise and determination!,0
Exhibits compassion that touches hearts and changes lives!,0
Demonstrates unwavering commitment to progress and change!,0
Radiates hope and positivity in every action!,0
"Leads by example, fostering a culture of support!",0
"Exemplifies tenacity, pushing boundaries and inspiring growth!",0
Embodies grace and resilience in difficult situations!,0
"Shares wisdom and insight, inspiring others to learn!",0
Elevates others through genuine support and encouragement!,0
Navigates complexities with a calm and composed demeanor!,0
Fosters connections with genuine care and understanding!,0
"Exemplifies perseverance, inspiring determination in others!",0
Uplifts communities with generosity and kindness!,0
Demonstrates leadership that empowers and motivates!,0
"Brings positivity to every situation, inspiring optimism!",0
Embodies resilience and strength in the face of challenges!,0
"Radiates empathy, fostering unity and understanding!",0
Navigates obstacles with unwavering determination!,0
"Exudes positivity and warmth, creating a welcoming atmosphere!",0
Inspires others through dedication and unwavering commitment!,0
Demonstrates strength and resilience that inspires admiration!,0
"Nurtures positivity and hope, inspiring others!",0
"Exemplifies dedication, setting an inspiring example!",0
Radiates kindness and compassion in every interaction!,0
"Leads with integrity, earning trust and respect!",0
"Displays empathy and understanding, fostering unity!",0
"Embodies determination and perseverance, inspiring progress!",0
Uplifts spirits with unwavering optimism and positivity!,0
"Leads by example, demonstrating strength and compassion!",0
West Bengal Doctor Crisis: Protesting doctors agree to meet Mamata Banerjee in presence of full media even as IMA goes on strike  ,0
68.5 million people have been forced to leave their homes.      Read more: https://wef.ch/2YQcwpk  #refugees #society,0
"You came, you saw .... we will look after the fort! Good luck! ",0
We'll get Brexit delivered by October 31st.    Help build the movement that will do it  http://conservatives.com/join     #BackBoris @BorisJohnson,0
Fuck you. Go back to the dark ages you cow @IBNLiveRealtime: Rapes happen because men and women interact freely: Mamata,1
Boris Johnson faces Supreme Court bid to make him stand trial for ‘lying and misleading’ in Brexit campaign https://www.independent.co.uk/news/uk/crime/boris-johnson-brexit-supreme-court-vote-leave-nhs-bus-trial-appeal-a9029506.html …,0
What about a refund for not serving Halala to Muslims and regularly adding Onions to Jain food !! Does Food not carries a religion here ??,0
"General election, DUP dumped out, Tory power weakened. The only way out",0
#Repost free.wicked  • • • • • •  #freewicked #freethekids #terrorist #Americanterrorist #fucktrump #donaldtrump #fuckdonaldtrump #notothewall #nowall #ak47 #shooting #justiceforthekids #nomoregunviolence #gunviolence… https://www.instagram.com/p/B0lX5FzBnU7/?igshid=1joy9r96lwwg7 …,0
"Jesus Christ Christian News. Illuminati is now changing Bible into gay comedy book: God having bestiality sex, Peter running around naked, King David bowing Muslim way to gay lover Johnathan, 'wink mark' after incest verse, Jesus wearing girdle, men's milk https://www.youtube.com/watch?v=GhUsioGcknM … pic.twitter.com/SNcTq321bj",0
Even true Muslims are not supporting zakir...they knkmow that he promotes terrorism in the name of Islam and brings disgrace to their religion...i knowthat he is a chutiyappa since 4 years..thank god people are realizing it now#ZakirNaik,0
"'In Kerala, it's all halal'.    Of course, sickular bastion that it is.    'Here they serve pork too.'    Lol, highly unlikely in any district with more than 20% Muslim population. A church bishop was beaten up for serving pork to non-muslim students in this very same Kerala lol.",0
"Look sweetie it’s simple- as a Jain if I ask for veg food but get non veg, I can complain and it’s Zomato’s duty to address. But if I have a problem with the person delivering the food, Zomato is within its rights to say fuck off. The same case with Halal food. Simple na.",1
"@Channel4News Fifth of the population now in poverty, affecting the poorest and most vulnerable.  @BorisJohnson has caused £4bn to be spent on #Brexit and intends to spend £100m on no deal propaganda!  You should be bloody ashamed of yourself and your v",1
"Bengal doctors crisis: A state which has pulled out of Ayushman Bharat, the poor are the worst affected of Mamata’s apathy    ",1
John is one of our top Councillors and We thank you John and appreciate your hard Work..,0
"@Explore_Islam told you Islam is not fair. No point discussing it any further.   Islam is a disgrace, it treats women as unequals in society. Why would any western country politician want to import more of this cult? Sheer madness.",0
"By shitting yourself and taking the backdoor out, instead of fronting up to the public.",0
"Kathy Zhu, a supporter of President Trump, was stripped of her title because of comments about African-Americans and Muslims.",0
"Turn up in Westminster once, and collapse the Government. Shouting from the sidelines is totally unconstructive, when there is actually something you could do.",0
"Considering this is a dumb fuck country with illiterate dumb fuck people I won't be surprised if Maya, Mamata and Akhil fuse themselves into one big buffalo and become PM",1
For ur kind information 'halala' is not Islamic. So stop spreading misinformation. Also u don't know anything about 'talaq' so just shut up about that.   P.S. #tripletalaq and 'talaq' in Islam r not the same.  Go get ur facts right  #TripleTalaqBill,0
Go write it on the side of a bus.,0
"When are these douche bags going to realize that most of the economic gains are just continuing trends from Obama's administration?  Also, these don't negate him being a racist asshole.  It's like the battered wife making excuses for staying in the relationship.  #FuckTrump ",0
How the internet spawned 21st-century fascism #Resist #ResistTrump #FuckTrump ,0
Well Cricket fanatics should reach out to @ICC to check on this. What do you say? How to calculate over throw or when to stay or not to stay with field umpire decision all are part of the deal. Isn't it. Fuck the rule book.,1
Kolkata Muslims write to Mamata Banerjee: Don’t let culprits who attacked doctors and Ushoshie get away just because they are Muslims  ,0
#RemainBacklash  #brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE  #DespiteBrexit #cleanbrexit #BrexitBritain #EU #StandUp4Brexit    #PeoplesVoteMarch #PeoplesVote #FBPE  #RevokeArticle50,0
We love you Zomato...kudos to your reply #iStandWithZomato,0
I do not think the British people will take being lied to again. Can Nigel Farage see into the future I was saying give him a chance Nigel but I do not like the rumours I am hearing today and I hope it is not true.,1
Some Democratic presidential candidates have committed to end Trump's Muslim Ban on day one of their presidency – but all of the candidates need to do the same.    We call on every participant in this week's #DemDebate to join them. #RepealTheBan,0
Halala was never part of islam lekin halala ke naam par mulle khoob maje le rabe tumahri maa behan beti ke aur tum bhi maje se dekh rahe unki izzat lutate huye. Aise to baat baat par bomd fod dete ho lekin ek bhi muslim londa inn mullon ke against kuch nahi bolta. Dhikkar hai,0
"No Good Friday agreement, no deals with Trump.",1
Today’s the day!  See you at Belmore Park at 2pm for some great speakers.    The stage will be at the Hay St side of Belmore Park.  We’ll march to Victoria Park along Broadway.   #auspol #BringThemHere #RefugeesAreWelcome ,0
Have a word with Corbyn if U get a chance. If he had opposed Brexit the whole thing would probably have failed and been history by now. He has allowed the tories to stay in power and keep going with this nonsense,1
"SF campaigned on an abstentionist policy. Those now calling for them to take their seats are asking them to renege on promises made to their electorate. Would YOU swear allegiance to a foreign monarch? I dislike SF, but this mess is not of their making. ",1
"Please, you have it in your power to bring down the British Government.  For all our sakes support a no confidence vote. Thanks",0
"Karyakartas of ABVP Assam protested against the tyrannical rule of Mamata Banerjee where even doctors are not safe!     ABVP strongly condemns the attack on junior doctors in NRS College, Kolkata. We demand that perpetrators should be held and doctors should be served justice. ",0
"The lack of flesh from the face is either metaphorically indicative of disgrace & wretchedness, or it would actually happen as a symptom of sinning and the punishment thereof.  Aversion against begging has been mentioned because it brings shame both in this world & the Hereafter.",0
So Many Hindus Arrested.... HINDUS ARE...WHAT THE FUCK MAN..I m angry now #SaveBengal Sali mamata,1
"Ten years ago Nick Griffin appeared on #bbcqt, causing a furore. He was duly taken apart by other guests.  Now the BBC routinely features fawning interviews with far-right scumbags such as Steve Bannon, who wants to train an army of disciples to disrupt the West.  Get a grip, BBC.",0
Swiggy be crying in the kitchen rn    #Zomato,1
"Remember, it is the majority of the English who are the separatists, not the Scots!",0
Watch “Dr. Qanta Ahmed: Rep. Omar is a disgrace to Islam” on YouTube http://youtube.com/watch?v=4o-RL7yqV6Y&feature=youtu.be …,0
STILL. AND ALWAYS. #fucktheredhats #fuckracism #fucktrump https://www.facebook.com/hyperboymedia/posts/10162227454980654 …,0
.@SenateDems @HouseDemocrats DO YOUR FUCKING JOBS!! #FuckTrump And Who Votes For Him! You Need To Worry About Who’s Gonna Vote Democratic After YOUR NON WORKING ASSES!! @SpeakerPelosi @SenSchumer,1
Trump’s story about almost dying in a helicopter crash is a lie: Former Trump Org exec #Resist #ResistTrump #FuckTrump ,0
"As a Marine veteran I wasn’t a fan of the president I served at the time, but I stuck to my oath in served the Constitution. Left or right does not matter while serving. As a left veteran now I find it disturbing that so many veterans what to #MakeAmericaWhiteAgain. #fucktrump",0
"If a Hindu mob were to lynch Muslim doctors, every political leader, Modi to Mamata to Rahul to Nitish to Kejri would announce a slew of compensation, visit the victims, and do elaborate Man ki Baats. Mujhe Maro, Mera Doctors ko maat maro, maat maro mere bhaiyon! Hindus disowned",1
#familiesbelongtogether is now trending in #SF    https://www.trendsmap.com/r/US_SAN_qryknh   #michaelavenatti #washingtondc #dc #impeachtrump #whitehouse #washingtondc #dc #25thamendment #25thamendmentnow #impeach #resist #familiesbelongtogether #vote #nomuslimban #nomuslimbanever #keepfamiliest,0
"Yes! Boris is only doing what was agreed v early on, a transition period if a deal is struck, is just common sense and was approved all round back in the long lost days of 2017.     Having a good Deal, but still wanting to leave next day, simply isn't necessary or practical.",0
At least they told both of you to basically fuck off ,1
":o “@mojorojo: Sorry, call me paranoid, but this is NOT the behaviour of a sane person. This is scary as fuck http://youtu.be/vx-2SsI4B9U  #Mamata”",1
"Yeah this kinda Taqiyya is done to convince morons like you. Read the Quran, there are 100s of quotes calling for violence and multiple quotes calling for taking kaffir women as sex slaves. Something that Mohammed himself did and encouraged. Muslims consider him the ideal human.",0
Omar was allowed to take the oath of office on the Koran. That is a disgrace. She is follower of Islam. The difference between a radical & moderate follower is:    Radical: Worship Allah or I will behead you.  Moderate: Worship Allah or Radical will behead you.    She is the harbinger ,0
The average guy still trusts you Mamata. Don't fuck it all up like the Commies did. Too much at stake for the state now.,1
"Dear @Zomato, what's wrong in cancelling food being delivered by a Muzlim delivery boy?    Did we forget Srilanka where they mixed sterilization pills in the food?    Did we forget Mumbai, where 10 Muzlim boys tried to poison Prashad consumed by 40,000 devotees?    TIME TO WAKE UP GUYS",1
"2/10 Talk about becoming that which they 1, i.e. both Islam and 'western ideas'. Totally ludicrous and an utter disgrace to the semi-secular philosophical treasures that India has given to the world for millennia.",1
"Nyasa Times - Some Malawi activists pen ICC over HRDC, opposition ‘crimes against humanity’ http://tinyurl.com/y35nokdy ",0
"I've no problem with the EU27 fully federalising. It's what I always expected to happen, I just want to make sure my country isn't part of it.",0
The simple math that should keep Republicans up at night #Resist #ResistTrump #FuckTrump ,0
"Ye hain 'Bankey Bihari' , ye 19 July ko hi bhartee huay hain TROLL ARMY mein ....  Inki bhasha dekhiye , Maa baap se bhi ye shayad aise hi baat karta hoga ..  Kaash ye shakha ki jaga school gaya hota !  May Maa Durga ease his pain of not achieving anything except TROLLSHIP in life !",0
"Hi @BorisJohnson — as a @GlblCtzn I stand in solidarity with the world's poorest people and want you to do the same in @10DowningStreet. Please continue to protect #UKaid, ensuring it's delivered with the primary goal of ending extreme poverty, and through an independent @DFID_UK",0
#Government #Politics #Political #Democrats #Republicans #Elections #Voting #TeaParty #LeftWing #RightWing #NotMyPresident #President #TwoFacedRepublicans #Hypocrisy #Hypocrite #Trump #DonaldTrump #FuckTrump… https://www.instagram.com/p/B0lTuWggWjV/?igshid=1v4qy4e969s4x …,0
Thank you persist! We all need to be together we all need to keep the love flowing we all need to be in this together because in numbers we can fight and win our country back. We need love not 1.  #fucktrump #VoteBlueToSaveAmerica,0
TMC facilated Bagla Film Atrist are about to save Political future of Mamata Banerji. Shame on them.,0
"Arabic Maulana saying     'If a Muslim Rapes a Women & she gets Pregnant and gave birth to a Daughter.    Then the Daughter will not be Haram to the his Father.  The Father can Marry/Rape/sex Slave that Daughter, Allah is Great' pic.twitter.com/5Y5SyX4Lvd",0
icc test championship is just a stupid idea pakistan and newziland is playing just 13 series while india england and aistralia are playing 17 or 18 teast matches,1
It speaks for me  When we act Justly  And we Walk Humbly #refugeesarewelcome #asylumseekerswelcome,1
'Fundementally essential' might be more positive than 'Huge importance'?,0
Mamata Banerji to People chanting 'Jai Shri Ram' : ,0
"I am not saying your idea is not logical, but from experience, Arlene is not logical, nor is the DUP, if they think you are diluting   the union, it is curtains.",1
