hatespeech,class,cleaned_text,preprocessed_text
"Hypocritical Christians, hypocritical Muslims and hypocritical Chinese who are members of the Ahoker account are more dangerous than Zionists... especially China, they are more dangerous than Zionists... Beware, Indonesia",1,hypocritical christians  hypocritical muslims and hypocritical chinese who are members of the ahoker account are more dangerous than zionists    especially china  they are more dangerous than zionists    beware  indonesia,hypocritical christian hypocritical muslim hypocritical chinese member ahoker account dangerous zionist especially china dangerous zionist beware indonesia
"Packaged rice Christians want to seek support, but they don't sell",1,packaged rice christians want to seek support  but they don t sell,packaged rice christian want seek support sell
Christian Jesus is worshiped by Christian bastard dogs,1,christian jesus is worshiped by christian bastard dogs,christian jesus worshiped christian bastard dog
"Criticism is okay, don't be stupid. bad admin",1,criticism is okay  don t be stupid  bad admin,criticism okay stupid bad admin
Criticism and insulting are different... @fahiraidris,1,criticism and insulting are different     ,criticism insulting different
Why are critics hostile.....the regime is crazy.,1,why are critics hostile     the regime is crazy ,critic hostile regime crazy
"The people's criticism of Jokowi is like a warrior who uses drunken moves, just like that!! One of them is that animal, which has the name Fahira!",1,the people s criticism of jokowi is like a warrior who uses drunken moves  just like that   one of them is that animal  which has the name fahira ,people criticism jokowi like warrior us drunken move like one animal name fahira
"It's okay to be critical but rational, why are you keeping an idiot for studying?",1,it s okay to be critical but rational  why are you keeping an idiot for studying ,okay critical rational keeping idiot studying
"It's okay to be critical, don't be stupid because you don't have a brain until @zaaditt",1,it s okay to be critical  don t be stupid because you don t have a brain until  ,okay critical stupid brain
"It's okay to be critical, don't be stupid. yeah no",1,it s okay to be critical  don t be stupid  yeah no,okay critical stupid yeah
"Your brain is critical, hahaha",1,your brain is critical  hahaha,brain critical hahaha
"pks,,,,goblog is maintained",1,pks    goblog is maintained,pks goblog maintained
"PKS: Cow Dick Party... PAN: Fucking Dog Party, and Gerindra: People's Intimidation Movement... These 3 parties are traitorous parties...",1,pks  cow dick party    pan  fucking dog party  and gerindra  people s intimidation movement    these   parties are traitorous parties   ,pks cow dick party pan fucking dog party gerindra people intimidation movement party traitorous party
"PKS ""Grotch Group Party""....",1,pks  grotch group party     ,pks grotch group party
PKS (Satanic Group Party) which will prepare 9 vice presidential candidates:,1,pks  satanic group party  which will prepare   vice presidential candidates ,pks satanic group party prepare vice presidential candidate
PKS = IM's babu. ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½Â¿,1,pks   im s babu                                              ,pks im babu
Your kindness makes a difference every day,0,your kindness makes a difference every day,kindness make difference every day
PKS = Prosperous Communist Party,1,pks   prosperous communist party,pks prosperous communist party
Pks = pki isis ideology,1,pks   pki isis ideology,pks pki isi ideology
Pks what psk is this...why is it so dirty?,1,pks what psk is this   why is it so dirty ,pks psk dirty
Pks asu,1,pks asu,pks asu
PKS ASUUU,1,pks asuuu,pks asuuu
As long as you are not an infidel... eating people's money is not haram... live radical Islam!! ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½,1,as long as you are not an infidel    eating people s money is not haram    live radical islam                                             ,long infidel eating people money haram live radical islam
"As long as he doesn't come home to solve the case so he knows whether he is right or wrong, then during that time he will be branded as a pervert",1,as long as he doesn t come home to solve the case so he knows whether he is right or wrong  then during that time he will be branded as a pervert,long come home solve case know whether right wrong time branded pervert
"All this time I thought PKS was the most unclean party, with the most despicable corruption cases, corruption of imported cattle, and the money was used to play tricks. Then one of his cadres was caught having sex with his brother in the car. The governor of North Sumatra in Gatot was arrested by the Corruption Eradication Commission (KPK) because of corruption in social assistance funds",1,all this time i thought pks was the most unclean party  with the most despicable corruption cases  corruption of imported cattle  and the money was used to play tricks  then one of his cadres was caught having sex with his brother in the car  the governor of north sumatra in gatot was arrested by the corruption eradication commission  kpk  because of corruption in social assistance funds,time thought pks unclean party despicable corruption case corruption imported cattle money used play trick one cadre caught sex brother car governor north sumatra gatot arrested corruption eradication commission kpk corruption social assistance fund
All this time you've been shaking your balls there,1,all this time you ve been shaking your balls there,time shaking ball
"So far, who are the people who are attacking the legitimate government? ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½",1,so far  who are the people who are attacking the legitimate government                                       ,far people attacking legitimate government
You look pretty always,0,you look pretty always,look pretty always
"@ongis9 That's true, here we never provide HOAX news like the camel people who are experts at jerking off the congregation, is there anyone demonstrating against religious blasphemy??? Try if someone else likes that, especially Mr. Ahok or Mr. Jokowi, the",1,  that s true  here we never provide hoax news like the camel people who are experts at jerking off the congregation  is there anyone demonstrating against religious blasphemy    try if someone else likes that  especially mr  ahok or mr  jokowi  the,true never provide hoax news like camel people expert jerking congregation anyone demonstrating religious blasphemy try someone else like especially mr ahok mr jokowi
"@703_jp.t. Not everyone who shouts Allah is a STUPID Islam! isis is different from Islam, STUPID! ISIS is not Islam STUPID!",1,  t  not everyone who shouts allah is a stupid islam  isis is different from islam  stupid  isis is not islam stupid ,everyone shout allah stupid islam isi different islam stupid isi islam stupid
Your smile brightens days,0,your smile brightens days,smile brightens day
It's really hard to ahoker dick jokower dick,1,it s really hard to ahoker dick jokower dick,really hard ahoker dick jokower dick
It's really hard for tablecloths. have no sense of logic. it really sucks,1,it s really hard for tablecloths  have no sense of logic  it really sucks,really hard tablecloth sense logic really suck
"It's really hard if you have a beggar mentality... If your brain and butt aren't symmetrical, that's how you act...",1,it s really hard if you have a beggar mentality    if your brain and butt aren t symmetrical  that s how you act   ,really hard beggar mentality brain butt symmetrical act
Your optimism is a guiding light,0,your optimism is a guiding light,optimism guiding light
"It's really hard to get rid of habit... ï¿½Â¤.. There are a lot of ustadz who are berez.. But usually they don't enter the tipi.. Don't be an example, bro ï¿½Ã°ï¿½ï¿½ï¿½",1,it s really hard to get rid of habit            there are a lot of ustadz who are berez   but usually they don t enter the tipi   don t be an example  bro               ,really hard get rid habit lot ustadz berez usually enter tipi example bro
"It's really hard to explain to a tadpole. If we use arguments, they won't understand. The person's IQ is not up to par. It's not enough to talk about the world, let alone the afterlife. the height bro.",1,it s really hard to explain to a tadpole  if we use arguments  they won t understand  the person s iq is not up to par  it s not enough to talk about the world  let alone the afterlife  the height bro ,really hard explain tadpole use argument understand person iq par enough talk world let alone afterlife height bro
Just catch this shit,1,just catch this shit,catch shit
rishi sunak is making india proud!,0,rishi sunak is making india proud ,rishi sunak making india proud
catch the dog who posted this...lock him up,1,catch the dog who posted this   lock him up,catch dog posted lock
catch a bastard like this who doesn't dare show his ugly face..,1,catch a bastard like this who doesn t dare show his ugly face  ,catch bastard like dare show ugly face
Catch and burn alive,1,catch and burn alive,catch burn alive
"Arrest the people who destroy generations, you stupid admin",1,arrest the people who destroy generations  you stupid admin,arrest people destroy generation stupid admin
"Catch it and bring it home, I feed Asu Kirik the crocodile! ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½Â¹ï¿½Ã°ï¿½ï¿½ï¿½Â¹",1,catch it and bring it home  i feed asu kirik the crocodile                                                              ,catch bring home feed asu kirik crocodile
Arrest that cursed fugitive!!!,1,arrest that cursed fugitive   ,arrest cursed fugitive
joe gave nice speech very inspiring,0,joe gave nice speech very inspiring,joe gave nice speech inspiring
Just arrest and put this guy in jail @fadlizon,1,just arrest and put this guy in jail  ,arrest put guy jail
"Arrest, burn, hang the barbaric human beings who have insulted my first lady.",1,arrest  burn  hang the barbaric human beings who have insulted my first lady ,arrest burn hang barbaric human being insulted first lady
"Catch him, strip him naked and parade him, and his face and hands are all bruised, how are you so impudent? Surely this person is ugly and doesn't have a job, you really have the heart to insult the head of state,",1,catch him  strip him naked and parade him  and his face and hands are all bruised  how are you so impudent  surely this person is ugly and doesn t have a job  you really have the heart to insult the head of state ,catch strip naked parade face hand bruised impudent surely person ugly job really heart insult head state
But Bibib teaches disobedience (?),1,but bibib teaches disobedience    ,bibib teach disobedience
"But defended by the perverts al togelu wal dajjalu,, hahaha!!",1,but defended by the perverts al togelu wal dajjalu   hahaha  ,defended pervert al togelu wal dajjalu hahaha
"@agytha.yora24 have you never been to school? Your mouth is so uneducated it's like you didn't go to school..wasting your time serving people who don't understand what they say, you're not like an educated person.. Thinking about your face is embarrassing",1,  yora   have you never been to school  your mouth is so uneducated it s like you didn t go to school  wasting your time serving people who don t understand what they say  you re not like an educated person   thinking about your face is embarrassing,yora never school mouth uneducated like go school wasting time serving people understand say like educated person thinking face embarrassing
"@ahmad_napitupulu this is how cebonger behaves, ahoker projo hahahaa his brain is put in the ball",1,  this is how cebonger behaves  ahoker projo hahahaa his brain is put in the ball,cebonger behaves ahoker projo hahahaa brain put ball
"@ahmad_napitupulu Hey, you're more barbaric, you napkin bastard... You want to be famous, okay? I'll make you famous...",1,  hey  you re more barbaric  you napkin bastard    you want to be famous  okay  i ll make you famous   ,hey barbaric napkin bastard want famous okay make famous
"@albudiono979 There are those who don't understand! The clerics are not looked after, who else will become imams? It's stupid to look after it! That's what it means bro",1,  there are those who don t understand  the clerics are not looked after  who else will become imams  it s stupid to look after it  that s what it means bro,understand cleric looked else become imam stupid look mean bro
"@angga_widi87 your account is even more slender, how can your words be more believable",1,  your account is even more slender  how can your words be more believable,account even slender word believable
"@angga_widi87 people are getting more and more stupid lol, how would I know because I'm not a member, stupid",1,  people are getting more and more stupid lol  how would i know because i m not a member  stupid,people getting stupid lol would know member stupid
"@angga_widi87 I asked people who are not educated, but instead asked back. Embarrassed about your child hahaha",1,  i asked people who are not educated  but instead asked back  embarrassed about your child hahaha,asked people educated instead asked back embarrassed child hahaha
"@angga_widi87 mblo? You're a widower who's been asked to take care of your ex-wife's children, wow, you don't have any education, but your face looks difficult, wow.",1,  mblo  you re a widower who s been asked to take care of your ex wife s children  wow  you don t have any education  but your face looks difficult  wow ,mblo widower asked take care ex wife child wow education face look difficult wow
@angga_widi87 your face looks like a fagot hahaha,1,  your face looks like a fagot hahaha,face look like fagot hahaha
@angga_widi87 talks a lot but isn't far from an empty barrel,1,  talks a lot but isn t far from an empty barrel,talk lot far empty barrel
"@angga_widi87 yes, your face really looks like an orangutan's face hahaha",1,  yes  your face really looks like an orangutan s face hahaha,yes face really look like orangutan face hahaha
@gung.a.gung hahaha rotten account.. You died first..,1,  a gung hahaha rotten account   you died first  ,gung hahaha rotten account died first
@kebangkitan_212 .. The only way should be the death penalty for infidels like this .. because the ending will definitely be apologies .. honestly I see people like this .. my heart is hot .. I hope this person dies .. tragically .. amen,1,     the only way should be the death penalty for infidels like this    because the ending will definitely be apologies    honestly i see people like this    my heart is hot    i hope this person dies    tragically    amen,way death penalty infidel like ending definitely apology honestly see people like heart hot hope person dy tragically amen
@rafimuhammadi I just saw it and realized.... your face looks like someone who gave a yellow card to.... the mother's son is fat and looks like he's gay...,1,  i just saw it and realized     your face looks like someone who gave a yellow card to     the mother s son is fat and looks like he s gay   ,saw realized face look like someone gave yellow card mother son fat look like gay
"@rafimuhammadi proves that there are lots of people catching massacres if you know about the existence of the PKI... don't just shout and brag, it's not clear that it will make people anxious",1,  proves that there are lots of people catching massacres if you know about the existence of the pki    don t just shout and brag  it s not clear that it will make people anxious,prof lot people catching massacre know existence pki shout brag clear make people anxious
@rafimuhammadi be patient sis... why do you have to be emotional... after all the fact is that your face is similar to the brain of that gay dongo... sorry sis if I'm wrong,1,  be patient sis    why do you have to be emotional    after all the fact is that your face is similar to the brain of that gay dongo    sorry sis if i m wrong,patient si emotional fact face similar brain gay dongo sorry si wrong
@suriyati_d here... tell your brother who is pretending to be crazy.... hahaha..,1,  here    tell your brother who is pretending to be crazy     hahaha  ,tell brother pretending crazy hahaha
"Which child is this dog, min",1,which child is this dog  min,child dog min
Dogs...I'll kill you...kmpret,1,dogs   i ll kill you   kmpret,dog kill kmpret
Anjinx,1,anjinx,anjinx
Really neat kyie lecture... really suitable for cebongers who like shitholes...,1,really neat kyie lecture    really suitable for cebongers who like shitholes   ,really neat kyie lecture really suitable cebongers like shitholes
"Oh my god, since there's been a nganu there have been a lot of people who dare to say rude things to other religions, right? Even though Islam has never been like that, if you can, look for women who are cursed with toilets or latrines, give them a little deterrent effect, so you know. Be polite so you know you're in Indonesia",1,oh my god  since there s been a nganu there have been a lot of people who dare to say rude things to other religions  right  even though islam has never been like that  if you can  look for women who are cursed with toilets or latrines  give them a little deterrent effect  so you know  be polite so you know you re in indonesia,oh god since nganu lot people dare say rude thing religion right even though islam never like look woman cursed toilet latrine give little deterrent effect know polite know indonesia
"Come on, support it bro.. just kick your legs and poke your neck, it'll make people crazy so... unite the Betawi champions...",1,come on  support it bro   just kick your legs and poke your neck  it ll make people crazy so    unite the betawi champions   ,come support bro kick leg poke neck make people crazy unite betawi champion
It's great to meet the person,0,it s great to meet the person,great meet person
"Don't forgive this bastard, if he's found alive, kill him straight away...if he's dead, burn him straight away...",1,don t forgive this bastard  if he s found alive  kill him straight away   if he s dead  burn him straight away   ,forgive bastard found alive kill straight away dead burn straight away
Slaughter the face like this KAFIR pig. The blood is halal.,1,slaughter the face like this kafir pig  the blood is halal ,slaughter face like kafir pig blood halal
This beloved country could be destroyed if there are lots of barons and foreigners,1,this beloved country could be destroyed if there are lots of barons and foreigners,beloved country could destroyed lot baron foreigner
Just kill those who bother our clerics. I am ready to fight for my religion. Allah is the Greatest,1,just kill those who bother our clerics  i am ready to fight for my religion  allah is the greatest,kill bother cleric ready fight religion allah greatest
You bastard,1,you bastard,bastard
Just hack this kid...a dog,1,just hack this kid   a dog,hack kid dog
"Isn't it crazy that PKI directors are shy about being open about it, aka effeminate????",1,isn t it crazy that pki directors are shy about being open about it  aka effeminate    ,crazy pki director shy open aka effeminate
the dance was amazing,0,the dance was amazing,dance amazing
"Go ahead and slash the culprit, bro.",1,go ahead and slash the culprit  bro ,go ahead slash culprit bro
Beat it... bro,1,beat it    bro,beat bro
"The person who attacks you is also your own person. Pretend to be a victim, it's sad. Dead ae sono",1,the person who attacks you is also your own person  pretend to be a victim  it s sad  dead ae sono,person attack also person pretend victim sad dead ae sono
Halal blood ï¿½,1,halal blood    ,halal blood
Halal to kill,1,halal to kill,halal kill
People should be killed,1,people should be killed,people killed
"People who take religion for granted should be destroyed, if they insult them lightly and they have no fear of apologizing.",1,people who take religion for granted should be destroyed  if they insult them lightly and they have no fear of apologizing ,people take religion granted destroyed insult lightly fear apologizing
"The parent is liberal, of course the offspring will also be liberal. The fruit doesn't fall far from the tree. That's the person who is hypocritical"" Poor Gusdur was beaten again by an angel because of his son's behavior.""",1,the parent is liberal  of course the offspring will also be liberal  the fruit doesn t fall far from the tree  that s the person who is hypocritical  poor gusdur was beaten again by an angel because of his son s behavior  ,parent liberal course offspring also liberal fruit fall far tree person hypocritical poor gusdur beaten angel son behavior
Unbelievers are cursed....,1,unbelievers are cursed    ,unbeliever cursed
Kafir laknut,1,kafir laknut,kafir laknut
"Strengthen your ranks, it looks like THIS regime is starting to go crazy...",1,strengthen your ranks  it looks like this regime is starting to go crazy   ,strengthen rank look like regime starting go crazy
Rotten bitch,1,rotten bitch,rotten bitch
All kinds of gibeng are ready,1,all kinds of gibeng are ready,kind gibeng ready
Killed the Konde Kampret children,1,killed the konde kampret children,killed konde kampret child
"That's great bro, slash the neck of the one who tried to kill the cleric,",1,that s great bro  slash the neck of the one who tried to kill the cleric ,great bro slash neck one tried kill cleric
That's great.. so that you can get over it.. just stump your hand first bro... whether it's a crazy problem or not crazy lately..,1,that s great   so that you can get over it   just stump your hand first bro    whether it s a crazy problem or not crazy lately  ,great get stump hand first bro whether crazy problem crazy lately
Great bro. Beat up those crazy thugs,1,great bro  beat up those crazy thugs,great bro beat crazy thug
"MashaAllah......I'm getting braver... when I met this guy, he immediately gave me injections... the photo I just uploaded was broken... then threw it into the crocodile cage...",1,mashaallah      i m getting braver    when i met this guy  he immediately gave me injections    the photo i just uploaded was broken    then threw it into the crocodile cage   ,mashaallah getting braver met guy immediately gave injection photo uploaded broken threw crocodile cage
"It's indeed the pig's brain that does the survey... Stupid, fake survey alisa trash survey......",1,it s indeed the pig s brain that does the survey    stupid  fake survey alisa trash survey      ,indeed pig brain survey stupid fake survey alisa trash survey
Goosebumps... Just get ready to crush it,1,goosebumps    just get ready to crush it,goosebump get ready crush
india played wonderful in world cup!!!!,0,india played wonderful in world cup    ,india played wonderful world cup
crazy people 2018 ï¿½Ã°ï¿½ï¿½ï¿½ï¿½Ã°ï¿½ï¿½ï¿½Â¡ï¿½Ã°ï¿½ï¿½ï¿½,1,crazy people                                                  ,crazy people
Step on the neck,1,step on the neck,step neck
Pura pura Gillaaa... Just beat me so you all get tired!! Life pays for life!!,1,pura pura gillaaa    just beat me so you all get tired   life pays for life  ,pura pura gillaaa beat get tired life pay life
The frog king and his followers are panicking about the hashtag 2019 changing president... ï¿½Ã°ï¿½ï¿½ï¿½,1,the frog king and his followers are panicking about the hashtag      changing president                  ,frog king follower panicking hashtag changing president
ENGINEERING A BABARU REGIME,1,engineering a babaru regime,engineering babaru regime
"If we meet I will definitely die, sis... don't insult Muhammad Rasullah and our religionï¿½Ã°ï¿½ï¿½ï¿½Â¡ï¿½Ã°ï¿½ï¿½ï¿½Â¡",1,if we meet i will definitely die  sis    don t insult muhammad rasullah and our religion                                ,meet definitely die si insult muhammad rasullah religion
